Method,Steps,Angles,Scale,PSNR,SSIM,LPIPS
flowdps,100,180,0.01,22.284896850585938,0.6336585879325867,0.3858323097229004
flowdps,100,180,0.05,23.62530899047852,0.633502721786499,0.2657811343669891
flowdps,100,180,0.1,22.9593505859375,0.4921530485153198,0.354522705078125
flowdps,100,180,0.3,4.383944988250732,0.0710179656744003,0.6862479448318481
flowdps,100,180,0.5,1.1947479248046875,0.1338066756725311,0.7317671775817871
flowdps,100,180,1.0,1.1808464527130127,0.1344292908906936,0.7257592678070068
flowdps,100,180,2.0,1.1808120012283323,0.134429320693016,0.7256333827972412
flowdps,100,180,5.0,1.1807059049606323,0.1344294399023056,0.7230808734893799
flowdps,20,180,0.01,19.015613555908203,0.5304551124572754,0.4426666498184204
flowdps,20,180,0.05,19.62968063354492,0.4945178627967834,0.3355398178100586
flowdps,20,180,0.1,17.383071899414062,0.3673166632652282,0.471640408039093
flowdps,20,180,0.3,2.456578731536865,0.108420230448246,0.7335165739059448
flowdps,20,180,0.5,1.325077772140503,0.1270647346973419,0.745768666267395
flowdps,20,180,1.0,1.2698553800582886,0.1279883682727813,0.7435270547866821
flowdps,20,180,2.0,1.2494256496429443,0.1283684074878692,0.7424311637878418
flowdps,20,180,5.0,1.2398658990859983,0.1285884976387024,0.7412365078926086
flowdps,50,180,0.01,21.302289962768555,0.6104559898376465,0.4016673266887665
flowdps,50,180,0.05,21.169723510742188,0.5714053511619568,0.3627000153064728
flowdps,50,180,0.1,21.0599365234375,0.4369721412658691,0.4024627804756164
flowdps,50,180,0.3,3.152984380722046,0.0917371213436126,0.717339038848877
flowdps,50,180,0.5,1.2415302991867063,0.1299633234739303,0.7399545907974243
flowdps,50,180,1.0,1.1960057020187378,0.1328104138374328,0.734592854976654
flowdps,50,180,2.0,1.1845513582229614,0.1342033296823501,0.7306084632873535
flowdps,50,180,5.0,1.1827392578125,0.1343391388654709,0.7292963266372681
flowers,100,180,0.01,15.488874435424805,0.3509616553783417,0.5321205854415894
flowers,100,180,0.05,17.64708137512207,0.5128313899040222,0.4451464414596557
flowers,100,180,0.1,18.212629318237305,0.5151733160018921,0.436784416437149
flowers,100,180,0.3,20.594396591186523,0.5855292081832886,0.4047622084617615
flowers,100,180,0.5,20.817800521850582,0.5778281688690186,0.3156479299068451
flowers,100,180,1.0,22.32691192626953,0.6290613412857056,0.3829286992549896
flowers,100,180,2.0,23.428760528564453,0.6606385111808777,0.3588060438632965
flowers,100,180,5.0,26.65034866333008,0.7505791783332825,0.3054912686347961
flowers,20,180,0.01,15.574209213256836,0.4753764569759369,0.5441277623176575
flowers,20,180,0.05,15.208967208862305,0.3565990924835205,0.5386072397232056
flowers,20,180,0.1,17.064619064331055,0.4810153543949127,0.5427336692810059
flowers,20,180,0.3,18.97381401062012,0.527900755405426,0.4322852492332458
flowers,20,180,0.5,20.438373565673828,0.5527147054672241,0.4402111172676086
flowers,20,180,1.0,22.402549743652344,0.641785204410553,0.3989275097846985
flowers,20,180,2.0,24.95445251464844,0.7243183255195618,0.3512381315231323
flowers,20,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
flowers,50,180,0.01,15.560136795043944,0.4698809385299682,0.5123813152313232
flowers,50,180,0.05,15.525551795959473,0.3749420940876007,0.5080263614654541
flowers,50,180,0.1,17.69209098815918,0.4829410910606384,0.4089542031288147
flowers,50,180,0.3,20.23223304748535,0.5758897066116333,0.4227524101734161
flowers,50,180,0.5,20.78672790527344,0.5862517356872559,0.4036596417427063
flowers,50,180,1.0,21.953598022460938,0.6180993318557739,0.3233650922775268
flowers,50,180,2.0,23.774219512939453,0.6858172416687012,0.3612740635871887
flowers,50,180,5.0,27.107133865356445,0.7672542333602905,0.2966951131820678
ictm,100,180,0.01,22.226577758789062,0.3826444745063782,0.4072783589363098
ictm,100,180,0.05,24.834665298461918,0.6283782720565796,0.3432363271713257
ictm,100,180,0.1,26.85605812072754,0.7231928110122681,0.3220087587833404
ictm,100,180,0.3,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,100,180,0.5,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,100,180,1.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,100,180,2.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,100,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,20,180,0.01,17.203710556030273,0.2650075852870941,0.4718468487262726
ictm,20,180,0.05,22.748403549194336,0.5046377182006836,0.3834249675273895
ictm,20,180,0.1,23.13660049438477,0.6023840308189392,0.3476388156414032
ictm,20,180,0.3,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,20,180,0.5,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,20,180,1.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,20,180,2.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,20,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,50,180,0.01,20.364421844482425,0.3361080288887024,0.4766221046447754
ictm,50,180,0.05,23.44408798217773,0.5074098110198975,0.3626686930656433
ictm,50,180,0.1,25.16160774230957,0.7061958312988281,0.3398146033287048
ictm,50,180,0.3,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,50,180,0.5,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,50,180,1.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,50,180,2.0,1.1806379556655884,0.1344295144081115,0.722278356552124
ictm,50,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,100,180,0.01,20.593379974365234,0.3509851992130279,0.4573076367378235
pnp,100,180,0.05,23.13849258422852,0.4663805961608886,0.3794137835502624
pnp,100,180,0.1,24.965333938598636,0.6300749182701111,0.3563295304775238
pnp,100,180,0.3,27.15709686279297,0.68820720911026,0.3205250799655914
pnp,100,180,0.5,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,100,180,1.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,100,180,2.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,100,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,20,180,0.01,15.816489219665527,0.216369479894638,0.4921228587627411
pnp,20,180,0.05,21.32536125183105,0.4022731482982635,0.4384872615337372
pnp,20,180,0.1,22.545684814453125,0.4721647500991821,0.4114785194396972
pnp,20,180,0.3,16.224063873291016,0.3660514950752258,0.4463828802108764
pnp,20,180,0.5,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,20,180,1.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,20,180,2.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,20,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,50,180,0.01,17.186376571655273,0.2725679278373718,0.4903583526611328
pnp,50,180,0.05,22.424057006835938,0.4254418015480041,0.4188633561134338
pnp,50,180,0.1,23.228561401367188,0.4945436716079712,0.3909957408905029
pnp,50,180,0.3,25.36260032653809,0.6919381022453308,0.3277019262313843
pnp,50,180,0.5,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,50,180,1.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,50,180,2.0,1.1806379556655884,0.1344295144081115,0.722278356552124
pnp,50,180,5.0,1.1806379556655884,0.1344295144081115,0.722278356552124
